experiment,Enclosure,bee,Bee_ID,Date_delivered,Date_tagged,Days_Subcolony,Colony,Neonic,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date,,
t3rep1,1,70-96-FA-04-08-00-12-E0,70 96 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep1,2,AE-95-FA-04-08-00-12-E0,AE 95 FA 04 08 00 00 00,3/26/19,3/29/19,3,1,y,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep1,3,DC-24-66-01-0B-00-12-E0,DC 24 66 01 0B 00 00 00,3/26/19,3/29/19,3,1,n,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep1,5,0A-2A-66-01-0B-00-12-E0,0A 2A 66 01 0B 00 00 00,3/26/19,3/29/19,3,2,y,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep1,6,11-2A-66-01-0B-00-12-E0,11 2A 66 01 0B 00 00 00,3/26/19,3/29/19,3,1,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep1,8,97-1F-30-01-0B-00-12-E0,97 1F 30 01 0B 00 00 00,3/26/19,3/29/19,3,1,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,1,E4-2C-66-01-0B-00-12-E0,E4 2C 66 01 0B 00 00 00,3/26/19,3/29/19,3,1,y,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,2,75-97-FA-04-08-00-12-E0,75 97 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,n,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,3,E1-28-66-01-0B-00-12-E0,E1 28 66 01 0B 00 00 00,3/26/19,3/29/19,3,1,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,4,E5-2C-66-01-0B-00-12-E0,E5 2C 66 01 0B 00 00 00,3/26/19,3/29/19,3,1,n,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,5,CF-95-FA-04-08-00-12-E0,CF 95 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,6,F2-94-FA-04-08-00-12-E0,F2 94 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep2,8,BC-23-30-01-0B-00-12-E0,BC 23 30 01 0B 00 00 00,3/26/19,3/29/19,3,1,y,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,1,00-99-FA-04-08-00-12-E0,00 99 FA 04 08 00 00 00,3/26/19,3/29/19,3,1,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,2,49-97-FA-04-08-00-12-E0,49 97 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,n,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,3,12-22-30-01-0B-00-12-E0,12 22 30 01 0B 00 00 00,3/26/19,3/29/19,3,2,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,4,24-99-FA-04-08-00-12-E0,24 99 FA 04 08 00 00 00,3/26/19,3/29/19,3,1,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,5,5E-95-FA-04-08-00-12-E0,5E 95 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,y,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,6,8D-96-FA-04-08-00-12-E0,8D 96 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep3,8,F7-2C-66-01-0B-00-12-E0,F7 2C 66 01 0B 00 00 00,3/26/19,3/29/19,3,2,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep4,1,C0-95-FA-04-08-00-12-E0,C0 95 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,y,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep4,2,A2-99-FA-04-08-00-12-E0,A2 99 FA 04 08 00 00 00,3/26/19,3/29/19,3,1,n,m,6alt,SI.NN,4/1/19,4/2/19,,
t3rep4,3,0D-96-FA-04-08-00-12-E0,0D 96 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,y,c,6alt,SI.NN,4/1/19,4/2/19,,
t3rep4,4,93-95-FA-04-08-00-12-E0,93 95 FA 04 08 00 00 00,3/26/19,3/29/19,3,1,n,h,6alt,SI.NN,4/1/19,4/2/19,,
t3rep4,5,24-97-FA-04-08-00-12-E0,24 97 FA 04 08 00 00 00,3/26/19,3/29/19,3,2,y,m,6alt,SI.NN,4/1/19,4/2/19,,
