experiment,Bee_ID,bee,Date_delivered,Date_tagged,Enclosure,Treatment_Type,Flower_Type,Test_Type,Treatment_date,Test_date
t1rep1,4A 96 FA 04 08 00 00 00,4A-96-FA-04-08-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,AA 2B 66 01 0B 00 00 00,AA-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,B1 2B 66 01 0B 00 00 00,B1-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,4B 2C 66 01 0B 00 00 00,4B-2C-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,8C 1B 30 01 0B 00 00 00,8C-1B-30-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,F6 96 FA 04 08 00 00 00,F6-96-FA-04-08-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep1,10 29 66 01 0B 00 00 00,10-29-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,6D 26 66 01 0B 00 00 00,6D-26-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,43 2B 66 01 0B 00 00 00,43-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,9F 26 66 01 0B 00 00 00,9F-26-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,26 28 66 01 0B 00 00 00,26-28-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,BC 2B 66 01 0B 00 00 00,BC-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,B0 2B 66 01 0B 00 00 00,B0-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep2,2F 2B 66 01 0B 00 00 00,2F-2B-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep 3,5A 1F 30 01 0B 00 00 00,5A-1F-30-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
t1rep 3,EA 24 66 01 0B 00 00 00,EA-24-66-01-0B-00-12-E0,6/12/18,6/14/18,,,,,,
